line,pos1,pos2,pos3,pos4,pos5,pos6
1,1,2,3,4,5,26
2,1,2,6,7,14,24
3,1,2,8,10,11,12
4,1,2,9,19,21,22
5,1,2,13,15,18,20
6,1,2,16,17,23,25
7,1,3,6,8,19,20
8,1,3,7,12,16,18
9,1,3,9,10,24,25
10,1,3,11,13,17,22
11,1,3,14,15,21,23
12,1,4,6,9,17,18
13,1,4,7,8,22,23
14,1,4,10,15,16,19
15,1,4,11,14,20,25
16,1,4,12,13,21,24
17,1,5,6,10,13,23
18,1,5,7,9,11,15
19,1,5,8,18,21,25
20,1,5,12,14,17,19
21,1,5,16,20,22,24
22,1,6,11,16,21,26
23,1,6,12,15,22,25
24,1,7,10,17,20,21
25,1,7,13,19,25,26
26,1,8,9,13,14,16
27,1,8,15,17,24,26
28,1,9,12,20,23,26
29,1,10,14,18,22,26
30,1,11,18,19,23,24
31,2,3,6,9,12,13
32,2,3,7,8,15,25
33,2,3,10,20,22,23
34,2,3,11,14,16,19
35,2,3,17,18,21,24
36,2,4,6,10,21,25
37,2,4,7,9,16,20
38,2,4,8,13,17,19
39,2,4,11,15,22,24
40,2,4,12,14,18,23
41,2,5,6,11,17,20
42,2,5,7,10,18,19
43,2,5,8,9,23,24
44,2,5,12,15,16,21
45,2,5,13,14,22,25
46,2,6,8,16,18,22
47,2,6,15,19,23,26
48,2,7,11,13,21,23
49,2,7,12,17,22,26
50,2,8,14,20,21,26
51,2,9,10,14,15,17
52,2,9,11,18,25,26
53,2,10,13,16,24,26
54,2,12,19,20,24,25
55,3,4,6,16,23,24
56,3,4,7,10,13,14
57,3,4,8,9,11,21
58,3,4,12,15,17,20
59,3,4,18,19,22,25
60,3,5,6,7,21,22
61,3,5,8,10,16,17
62,3,5,9,14,18,20
63,3,5,11,12,23,25
64,3,5,13,15,19,24
65,3,6,10,11,15,18
66,3,6,14,17,25,26
67,3,7,9,17,19,23
68,3,7,11,20,24,26
69,3,8,12,14,22,24
70,3,8,13,18,23,26
71,3,9,15,16,22,26
72,3,10,12,19,21,26
73,3,13,16,20,21,25
74,4,5,6,8,14,15
75,4,5,7,17,24,25
76,4,5,9,10,12,22
77,4,5,11,13,16,18
78,4,5,19,20,21,23
79,4,6,7,11,12,19
80,4,6,13,20,22,26
81,4,7,15,18,21,26
82,4,8,10,18,20,24
83,4,8,12,16,25,26
84,4,9,13,15,23,25
85,4,9,14,19,24,26
86,4,10,11,17,23,26
87,4,14,16,17,21,22
88,5,6,9,16,19,25
89,5,6,12,18,24,26
90,5,7,8,12,13,20
91,5,7,14,16,23,26
92,5,8,11,19,22,26
93,5,9,13,17,21,26
94,5,10,11,14,21,24
95,5,10,15,20,25,26
96,5,15,17,18,22,23
97,6,7,8,9,10,26
98,6,7,13,15,16,17
99,6,7,18,20,23,25
100,6,8,11,13,24,25
101,6,8,12,17,21,23
102,6,9,11,14,22,23
103,6,9,15,20,21,24
104,6,10,12,14,16,20
105,6,10,17,19,22,24
106,6,13,14,18,19,21
107,7,8,11,14,17,18
108,7,8,16,19,21,24
109,7,9,12,14,21,25
110,7,9,13,18,22,24
111,7,10,11,16,22,25
112,7,10,12,15,23,24
113,7,14,15,19,20,22
114,8,9,12,15,18,19
115,8,9,17,20,22,25
116,8,10,13,15,21,22
117,8,10,14,19,23,25
118,8,11,15,16,20,23
119,9,10,11,13,19,20
120,9,10,16,18,21,23
121,9,11,12,16,17,24
122,10,12,13,17,18,25
123,11,12,13,14,15,26
124,11,12,18,20,21,22
125,11,15,17,19,21,25
126,12,13,16,19,22,23
127,13,14,17,20,23,24
128,14,15,16,18,24,25
129,16,17,18,19,20,26
130,21,22,23,24,25,26
