year,sequence_in_year,n1,n2,n3,n4,n5,n6
2020,1,8,18,27,45,47,49
2020,2,4,10,13,23,43,46
2020,3,8,13,28,34,36,46
2020,4,21,24,31,36,38,39
2020,5,2,8,15,18,25,43
2020,6,4,6,10,16,30,42
2020,7,8,20,21,36,44,48
2020,8,3,16,26,32,38,43
2020,9,10,15,23,32,36,43
2020,10,5,9,16,26,28,47
2020,11,10,14,36,41,44,49
2020,12,11,13,15,32,43,46
2020,13,7,15,16,25,44,49
2020,14,1,12,21,25,28,46
2020,15,1,2,7,13,30,38
2020,16,11,33,37,44,45,48
2020,17,4,7,9,10,21,40
2020,18,2,8,16,23,24,39
2020,19,4,17,32,37,40,48
2020,20,6,16,26,41,44,46
2020,21,3,21,22,29,42,46
2020,22,3,6,31,32,38,47
2020,23,10,19,22,33,39,45
2020,24,6,8,21,22,32,37
2020,25,10,23,27,31,33,45
2020,26,23,24,27,38,39,44
2020,27,1,3,13,18,27,39
2020,28,7,20,28,38,48,49
2020,29,4,22,25,27,28,32
2020,30,4,6,14,28,45,48
2020,31,1,6,9,10,22,44
2020,32,1,12,14,16,17,34
2020,33,2,23,31,42,46,49
2020,34,16,20,25,32,47,49
2020,35,27,29,35,36,41,42
2020,36,9,14,20,22,37,49
2020,37,3,6,10,20,24,48
2020,38,15,18,23,30,42,45
2020,39,4,6,19,20,21,39
2020,40,5,34,42,43,44,47
2020,41,3,14,17,26,41,42
2020,42,3,7,20,37,40,41
2020,43,11,12,21,37,47,48
2020,44,1,23,33,35,37,47
2020,45,3,14,21,25,39,42
2020,46,4,10,11,12,13,15
2020,47,11,15,18,24,26,43
2020,48,3,19,33,42,46,48
2020,49,8,22,36,37,46,48
2020,50,9,10,23,33,39,46
2020,51,1,9,18,22,35,46
2020,52,6,7,8,12,26,27
2020,53,26,28,40,42,46,49
2020,54,2,9,11,17,38,46
2020,55,5,10,33,40,41,49
2020,56,3,10,13,25,32,34
2020,57,13,17,22,25,38,39
2020,58,4,6,9,14,24,28
2020,59,6,20,22,30,42,48
2020,60,1,3,10,11,36,43
2020,61,11,12,18,32,36,49
2020,62,1,8,20,28,37,42
2020,63,3,8,11,17,45,49
2020,64,8,11,23,27,44,45
2020,65,23,33,37,44,46,49
2020,66,2,16,17,32,38,48
2020,67,6,12,33,43,47,48
2020,68,5,10,24,27,39,40
2020,69,4,5,35,44,47,49
2020,70,8,11,17,26,36,40
2020,71,2,8,21,29,32,49
2020,72,2,30,32,42,45,46
2020,73,7,20,21,39,42,44
2020,74,8,14,22,23,38,45
2020,75,14,19,20,22,27,36
2020,76,3,6,33,34,36,38
2020,77,3,23,27,29,31,45
2020,78,12,14,23,24,36,45
2020,79,3,13,25,29,32,34
2020,80,10,14,29,39,43,46
2020,81,8,19,21,22,29,44
2020,82,6,7,17,38,39,46
2020,83,1,13,14,38,48,49
2020,84,1,2,8,15,23,40
2020,85,1,5,14,31,34,49
2020,86,10,18,21,35,42,47
2020,87,5,16,24,27,28,34
2020,88,17,18,34,38,47,49
2020,89,11,31,32,34,40,41
2020,90,2,8,19,35,42,44
2020,91,9,16,31,34,43,44
2020,92,20,21,26,32,44,45
2020,93,5,10,21,26,44,46
2020,94,9,10,12,23,25,46
2020,95,2,3,14,23,27,44
2020,96,26,27,29,34,39,48
2020,97,7,8,25,28,44,48
2020,98,6,8,13,26,27,36
2020,99,6,8,9,21,33,45
2020,100,5,9,23,27,42,45
2020,101,13,18,27,31,41,46
2020,102,11,14,20,33,36,42
2020,103,14,20,32,46,47,48
