year,sequence_in_year,n1,n2,n3,n4,n5,n6
2020,104,4,11,17,23,25,49
2020,105,13,23,26,27,37,47
2021,1,6,7,11,27,38,46
2021,2,8,11,14,16,34,39
2021,3,1,5,6,8,14,32
2021,4,9,14,26,31,32,37
2021,5,17,18,27,31,32,36
2021,6,4,15,35,42,44,47
2021,7,2,7,10,30,32,45
2021,8,3,21,23,31,40,48
2021,9,1,13,19,21,22,41
2021,10,2,15,22,28,37,49
2021,11,5,9,16,25,30,31
2021,12,10,31,34,43,44,48
2021,13,21,33,40,42,47,48
2021,14,12,16,19,39,40,45
2021,15,2,3,19,34,37,43
2021,16,12,22,28,31,35,46
2021,17,4,6,11,14,17,46
2021,18,3,19,30,37,45,49
2021,19,7,12,13,20,22,25
2021,20,11,12,39,42,46,49
2021,21,12,15,20,26,31,48
2021,22,9,12,20,35,36,38
2021,23,16,25,30,41,45,47
2021,24,16,41,42,43,44,45
2021,25,10,18,23,36,42,47
2021,26,1,6,17,23,31,40
2021,27,1,10,33,36,40,44
2021,28,3,17,30,34,37,44
2021,29,3,6,11,31,35,46
2021,30,8,23,41,43,44,45
2021,31,9,12,16,35,36,49
2021,32,3,12,15,21,26,34
2021,33,10,18,27,28,40,48
2021,34,12,16,18,24,34,40
2021,35,11,12,25,26,34,44
2021,36,1,6,21,27,34,39
2021,37,4,10,12,41,44,49
2021,38,1,13,21,24,36,45
2021,39,7,14,21,23,27,35
2021,40,2,10,19,24,27,41
2021,41,2,21,32,33,35,39
2021,42,9,19,33,39,41,44
2021,43,9,12,24,29,35,38
2021,44,9,29,31,33,41,48
2021,45,5,6,17,27,41,47
2021,46,6,10,17,28,39,42
2021,47,3,16,19,21,28,46
2021,48,3,4,31,36,37,49
2021,49,11,24,32,35,37,49
2021,50,11,12,31,34,45,49
2021,51,3,6,12,21,34,44
2021,52,10,14,20,23,35,40
2021,53,9,14,22,31,42,43
2021,54,4,19,21,30,33,40
2021,55,1,3,9,19,23,38
2021,56,2,6,10,15,19,34
2021,57,9,12,19,36,43,46
2021,58,7,9,27,33,43,45
2021,59,7,21,28,34,35,37
2021,60,8,17,37,44,46,49
2021,61,3,7,10,22,26,29
2021,62,29,32,42,44,45,46
2021,63,3,15,20,30,39,43
2021,64,17,30,33,34,42,45
2021,65,2,3,6,18,28,31
2021,66,10,14,18,27,37,40
2021,67,6,8,30,32,42,49
2021,68,17,23,29,31,34,37
2021,69,13,14,29,38,42,46
2021,70,2,12,26,28,31,32
2021,71,12,21,27,34,36,43
2021,72,4,17,21,34,44,48
2021,73,6,13,21,25,29,39
2021,74,5,23,29,33,41,48
2021,75,14,21,22,23,30,40
2021,76,24,27,32,34,46,47
2021,77,8,19,32,36,37,46
2021,78,4,7,8,11,14,28
2021,79,2,3,8,11,23,42
2021,80,10,11,20,33,43,48
2021,81,2,7,9,10,20,30
2021,82,26,27,29,34,38,49
2021,83,31,34,40,42,44,48
2021,84,2,8,10,23,30,45
2021,85,8,11,28,34,36,45
2021,86,1,2,5,7,20,27
2021,87,10,12,15,19,24,27
2021,88,11,24,28,29,32,43
2021,89,8,13,15,29,42,44
2021,90,1,13,28,33,34,37
2021,91,7,13,20,36,37,39
2021,92,6,10,39,40,44,47
2021,93,12,13,18,19,20,32
2021,94,8,10,13,27,39,48
2021,95,6,12,32,37,38,44
2021,96,5,7,25,27,44,46
2021,97,1,3,7,23,24,44
2021,98,24,31,33,42,43,49
2021,99,4,28,29,35,43,48
2021,100,7,14,16,22,25,35
2021,101,16,20,28,34,37,44
2021,102,5,17,20,31,39,40
2021,103,12,13,15,18,21,33
2021,104,23,24,33,36,39,46
2022,1,5,19,35,36,43,46
2022,2,2,3,5,12,17,22
2022,3,5,10,24,35,42,47
2022,4,7,8,18,33,38,40
2022,5,4,5,11,35,43,44
2022,6,10,15,22,25,42,48
2022,7,2,16,21,30,46,48
2022,8,15,20,28,38,39,40
2022,9,9,11,32,37,41,47
2022,10,9,15,18,22,25,43
2022,11,2,22,32,38,39,43
2022,12,6,10,16,30,35,37
2022,13,21,23,25,30,39,46
2022,14,9,10,29,35,36,45
2022,15,2,7,11,13,17,30
2022,16,4,5,24,28,37,49
2022,17,13,22,29,31,43,46
2022,18,17,18,24,29,37,42
2022,19,12,25,27,37,39,41
2022,20,1,3,23,28,41,43
2022,21,6,7,9,30,31,40
2022,22,1,2,14,18,21,39
2022,23,4,13,31,36,44,47
2022,24,5,6,7,10,22,42
2022,25,21,26,28,34,36,47
2022,26,10,16,21,22,39,47
2022,27,12,20,24,25,37,46
2022,28,3,5,8,20,30,32
2022,29,2,10,13,22,23,28
2022,30,9,27,28,31,33,38
2022,31,20,25,29,35,42,47
2022,32,6,15,24,33,34,38
2022,33,2,20,23,34,37,47
2022,34,10,23,33,36,41,49
2022,35,10,11,22,30,41,49
2022,36,9,25,26,28,29,34
2022,37,4,20,33,34,39,41
2022,38,3,8,32,40,41,45
2022,39,11,15,34,39,41,42
2022,40,3,26,32,34,43,48
2022,41,3,8,24,28,37,48
2022,42,3,5,13,15,36,47
2022,43,2,5,7,17,19,42
2022,44,4,20,25,38,43,44
2022,45,18,23,26,41,42,45
2022,46,3,20,28,29,31,48
2022,47,5,9,21,22,30,48
2022,48,4,16,24,25,36,38
2022,49,17,23,26,38,42,45
2022,50,9,23,30,32,36,39
2022,51,2,13,17,24,30,32
2022,52,2,3,16,28,36,37
2022,53,1,14,20,27,32,41
2022,54,19,20,22,24,25,42
2022,55,5,11,18,37,39,45
2022,56,4,11,12,28,35,43
2022,57,1,18,28,32,34,38
2022,58,8,19,21,30,43,44
2022,59,9,19,22,29,42,49
2022,60,4,7,13,16,20,43
2022,61,1,9,10,20,21,32
2022,62,1,7,23,44,45,47
2022,63,6,12,20,26,31,38
2022,64,1,6,15,23,37,41
2022,65,5,12,13,15,21,23
2022,66,2,7,18,27,41,45
2022,67,3,8,24,30,31,37
2022,68,14,29,40,43,46,47
2022,69,3,8,9,17,20,31
2022,70,2,3,18,19,42,45
2022,71,3,15,22,38,44,46
2022,72,12,13,18,29,31,48
2022,73,17,29,30,36,38,42
2022,74,3,8,18,29,45,48
2022,75,12,21,27,32,38,42
2022,76,16,18,19,24,33,44
2022,77,4,5,24,31,46,47
2022,78,10,15,18,23,25,35
2022,79,6,10,11,19,29,34
2022,80,3,22,29,30,34,49
2022,81,13,19,29,35,43,45
2022,82,4,6,9,21,36,46
2022,83,2,41,42,43,44,49
2022,84,23,27,32,36,41,48
2022,85,1,2,6,10,16,25
2022,86,3,4,6,19,34,42
2022,87,29,30,31,36,43,45
2022,88,7,17,19,21,33,49
2022,89,1,6,11,12,15,16
2022,90,7,12,17,24,27,30
2022,91,1,12,20,22,34,36
2022,92,17,21,39,41,42,44
2022,93,12,14,17,21,39,48
2022,94,7,26,35,45,48,49
2022,95,7,10,25,32,36,44
2022,96,6,13,20,24,35,40
2022,97,4,14,31,32,37,48
2022,98,12,16,27,31,36,42
2022,99,14,20,29,30,40,48
2022,100,7,11,18,36,44,48
2022,101,10,17,20,24,25,28
2022,102,15,18,23,33,38,39
2022,103,5,13,14,21,27,44
2022,104,8,19,24,29,31,42
2023,1,5,14,37,38,39,47
2023,2,5,19,21,34,35,44
2023,3,5,11,19,35,37,46
2023,4,8,15,34,43,44,46
2023,5,10,17,18,34,41,47
2023,6,8,23,29,30,32,47
2023,7,1,4,6,10,32,46
2023,8,1,5,9,29,41,49
2023,9,24,27,38,41,42,49
2023,10,9,14,24,30,37,44
2023,11,5,16,24,25,28,37
2023,12,13,19,32,36,48,49
2023,13,6,8,21,25,31,42
2023,14,8,15,20,26,28,43
2023,15,15,17,23,28,29,35
2023,16,9,10,15,32,39,43
2023,17,12,22,32,33,34,47
2023,18,11,19,21,29,35,49
2023,19,11,20,30,34,35,44
2023,20,7,11,33,39,44,49
2023,21,3,4,12,14,31,42
2023,22,1,3,19,22,25,42
2023,23,3,7,10,14,32,34
2023,24,15,23,25,26,27,39
2023,25,7,28,35,37,43,45
2023,26,7,13,20,22,36,44
2023,27,7,17,28,38,39,41
2023,28,13,14,28,29,32,45
2023,29,3,8,10,17,33,35
2023,30,7,9,23,39,40,48
2023,31,3,6,17,19,27,42
2023,32,5,6,10,12,26,42
2023,33,9,10,21,22,28,29
2023,34,6,26,28,30,46,47
2023,35,4,11,25,34,42,43
2023,36,4,18,21,29,42,46
2023,37,6,9,23,24,35,44
2023,38,4,9,11,18,19,39
2023,39,3,19,25,27,28,46
2023,40,6,22,34,37,38,47
2023,41,1,5,15,18,26,46
2023,42,9,25,26,35,37,41
2023,43,5,7,8,18,23,25
2023,44,13,20,26,27,31,49
2023,45,4,11,20,36,47,49
2023,46,6,14,19,26,35,42
2023,47,2,4,11,21,30,44
2023,48,2,21,32,37,39,42
2023,49,12,14,26,39,40,43
2023,50,1,31,32,37,39,40
2023,51,13,17,21,31,32,37
2023,52,4,9,18,22,31,48
2023,53,8,10,17,30,32,36
2023,54,3,10,19,27,31,49
2023,55,1,4,15,17,25,31
2023,56,2,17,19,27,31,45
2023,57,18,20,27,30,42,48
2023,58,6,9,11,20,37,40
2023,59,7,8,12,15,46,49
2023,60,2,12,17,18,27,29
2023,61,3,20,25,42,43,48
2023,62,1,7,25,29,44,48
2023,63,7,29,33,34,37,46
2023,64,1,9,40,43,47,48
2023,65,2,6,19,20,42,46
2023,66,1,10,12,16,33,45
2023,67,9,14,18,32,34,40
2023,68,1,6,20,26,34,42
2023,69,3,15,22,26,32,47
2023,70,14,19,25,30,31,47
2023,71,7,8,22,24,26,34
2023,72,21,22,25,32,45,48
2023,73,17,19,26,37,38,42
2023,74,1,9,11,15,19,45
2023,75,6,14,15,31,42,45
2023,76,3,13,37,38,42,45
2023,77,2,8,23,25,34,38
2023,78,10,16,20,24,38,47
2023,79,3,9,13,15,34,37
2023,80,12,14,19,33,37,46
2023,81,3,9,18,21,34,41
2023,82,10,21,22,27,39,42
2023,83,9,10,11,20,26,45
2023,84,10,32,36,45,46,47
2023,85,2,17,30,35,38,41
2023,86,1,5,9,13,39,45
2023,87,2,7,12,22,23,36
2023,88,5,21,30,38,43,45
2023,89,1,16,19,29,46,49
2023,90,2,7,18,22,34,42
2023,91,1,4,6,17,23,33
2023,92,8,28,31,38,39,41
2023,93,17,18,21,33,39,43
2023,94,4,5,15,31,38,40
2023,95,21,22,25,32,45,48
2023,96,17,19,26,37,38,42
2023,97,1,9,11,15,19,45
2023,98,6,14,15,31,42,45
2023,99,3,13,37,38,42,45
2023,100,2,8,23,25,34,38
2023,101,10,16,20,24,38,47
2023,102,3,9,13,15,34,37
2023,103,12,14,19,33,37,46
2023,104,3,9,18,21,34,41
2023,105,10,21,22,27,39,42
2023,106,9,10,11,20,26,45
2023,107,10,32,36,45,46,47
2023,108,2,17,30,35,38,41
2023,109,1,5,9,13,39,45
2023,110,2,7,12,22,23,36
2023,111,5,21,30,38,43,45
2023,112,1,16,19,29,46,49
2023,113,2,7,18,22,34,42
2023,114,1,4,6,17,23,33
2023,115,8,28,31,38,39,41
2023,116,17,18,21,33,39,43
2023,117,4,5,15,31,38,40
2023,118,15,18,27,32,34,35
2023,119,5,9,14,18,21,35
2023,120,8,10,24,26,29,33
2023,121,9,10,24,29,42,46
2023,122,4,5,19,22,23,40
2023,123,4,9,12,23,27,45
2023,124,3,7,8,15,32,47
2023,125,4,10,11,18,21,46
2023,126,5,9,23,28,34,43
2023,127,23,26,27,31,38,47
2023,128,9,10,18,28,35,43
