draw_no,date,n1,n2,n3,n4,n5,n6
,,6,19,27,28,29,46
,,6,18,22,34,39,45
,,8,13,15,33,35,41
,,1,5,8,21,22,29
,,3,8,14,34,38,43
,,9,10,14,23,42,44
,,6,18,20,23,29,35
,,2,4,13,17,27,43
,,9,22,36,39,43,48
,,1,22,23,24,38,48
,,5,12,33,43,44,45
,,1,15,26,27,32,39
,,6,13,16,31,35,36
,,7,25,27,33,41,49
,,5,10,17,21,29,40
,,3,11,25,28,43,45
,,6,10,16,17,32,35
,,2,6,10,14,30,42
,,2,9,11,19,31,33
,,19,22,34,35,46,48
,,15,18,19,22,24,38
,,14,15,24,31,34,49
,,1,8,21,34,36,38
,,8,16,33,41,45,46
,,1,23,28,29,38,44
,,3,12,19,23,26,49
,,16,17,20,23,34,40
,,15,27,28,35,36,44
,,2,4,10,39,44,47
,,25,29,31,34,38,44
,,2,11,22,29,41,47
,,6,8,33,35,37,45
,,8,20,26,29,40,41
,,13,22,23,27,37,46
,,4,26,27,28,42,43
,,8,18,23,24,38,49
,,7,10,13,22,37,39
,,9,19,27,31,36,39
,,8,11,13,15,26,35
,,23,24,25,37,42,45
,,16,33,34,39,42,46
,,10,26,39,41,43,48
,,2,10,11,12,24,29
,,12,22,30,34,37,42
,,12,13,18,20,22,48
,,13,18,22,35,36,44
,,8,11,12,17,22,41
,,5,9,31,43,46,47
,,11,19,22,36,42,43
,,6,23,31,33,37,43
,,5,10,12,22,29,47
,,2,18,37,38,42,46
,,2,18,31,33,35,47
,,2,17,26,31,37,44
,,7,10,33,39,46,49
,,3,16,23,36,41,49
