draw_no,date,n1,n2,n3,n4,n5,n6
75,2026-09-24,1,18,20,21,24,41
74,2026-09-20,4,12,14,16,20,42
73,2026-09-17,3,7,8,23,26,35
72,2026-09-13,4,9,20,21,39,40
71,2026-09-10,1,14,20,22,37,38
70,2026-09-06,3,5,16,24,25,26
69,2026-09-03,5,13,17,37,38,40
68,2026-08-30,2,42,9,10,33,38
67,2026-08-27,7,12,17,26,37,38
66,2026-08-23,9,12,26,29,30,36
65,2026-08-20,1,4,5,19,26,30
64,2026-08-16,2,4,18,20,31,41
63,2026-08-13,1,6,11,12,23,36
,,5,6,16,25,26,34
,,2,7,10,14,33,36
,,5,24,25,28,30,38
,,1,17,24,25,38,40
,,12,23,28,31,33,40
,,9,24,25,33,35,38
,,12,16,18,30,35,38
,,3,7,22,24,33,40
,,2,8,9,12,13,32
,,7,13,21,22,24,38
,,7,8,20,28,32,38
,,8,14,17,18,19,21
,,7,8,14,20,23,24
,,16,18,23,26,27,40
,,1,18,19,22,34,41
,,1,3,24,28,35,40
,,8,9,13,20,26,37
,,4,7,17,34,36,42
,,5,14,18,21,34,41
,,2,3,5,14,30,41
,,14,17,21,22,34,42
,,1,2,4,8,24,40
,,3,4,19,23,30,37
,,4,18,27,30,39,42
,,1,11,16,22,30,42
,,1,11,12,19,30,37
,,2,22,25,27,28,32
,,9,11,20,23,29,41
,,4,7,26,34,37,38
,,20,22,23,25,36,42
,,14,15,30,32,34,37
,,6,22,28,29,32,36
,,19,27,30,34,37,39
,,3,8,19,26,27,37
,,6,20,21,27,31,42
,,16,19,27,33,36,38
,,5,7,15,16,40,41
,,2,3,18,19,34,39
,,5,11,20,25,26,39
,,20,21,23,32,41,42
,,3,10,13,26,27,35
,,1,15,18,19,23,41
,,2,6,8,12,25,31
,,1,8,9,12,31,35
,,12,16,18,21,31,37
,,3,4,5,11,30,32
,,9,20,22,29,30,39
,,4,5,14,18,34,40
,,8,9,23,31,32,39
,,5,6,13,15,16,18
,,13,18,20,25,28,36
,,1,3,21,30,38,41
,,7,12,26,30,40,41
,,3,20,25,26,39,42
,,1,3,15,18,29,42
,,5,18,29,30,33,41
,,6,9,15,29,33,37
,,1,2,10,21,23,24
,,2,16,23,28,34,35
,,14,18,20,25,27,37
,,6,11,12,16,19,20
,,10,15,30,33,35,37
,,2,3,7,15,23,29
,,11,17,18,21,22,35
,,4,9,14,19,20,25
,,9,18,19,21,30,31
,,8,20,23,29,32,42
,,1,7,18,29,31,42
,,3,4,5,19,21,23
,,1,2,14,17,24,29
,,1,2,4,9,14,30
,,14,21,30,31,36,37
,,4,5,11,17,22,26
,,12,14,24,29,38,40
,,11,12,18,19,35,39
,,6,7,10,15,22,32
,,11,18,21,29,31,41
,,7,15,23,29,33,39
,,7,8,14,17,36,38
,,1,13,15,22,31,38
,,1,4,20,22,35,36
,,8,9,24,36,38,40
,,3,10,11,27,31,35
,,9,12,17,24,31,41
,,1,12,18,30,35,37
,,9,11,23,29,30,41
,,3,9,17,19,20,22
,,2,4,25,28,32,34
,,3,10,23,36,39,40
,,5,14,15,23,24,35
,,2,5,21,26,27,40
,,4,12,20,28,38,40
,,1,6,18,19,25,31
,,5,11,17,31,36,38
,,6,11,15,26,32,35
,,12,14,16,21,31,37
,,17,24,30,34,36,42
,,1,11,20,38,39,40
,,12,21,24,25,32,35
,,10,12,14,22,31,36
,,6,10,19,20,29,35
,,10,11,29,31,39,42
,,2,6,13,19,36,41
,,3,11,25,27,29,33
,,1,9,23,28,32,34
,,3,4,8,11,24,26
,,9,19,22,23,37,42
,,3,6,14,21,31,32
,,4,7,8,22,23,41
,,4,11,13,34,36,41
,,6,8,10,24,30,31
,,19,22,27,33,34,42
,,5,14,16,18,30,31
,,1,5,20,27,31,41
,,2,5,17,26,31,42
,,1,5,12,14,18,27
,,3,16,25,34,35,38
,,2,7,16,18,21,34
,,5,6,9,26,28,40
,,9,11,15,33,36,42
,,3,6,12,27,33,41
,,2,24,29,38,40,41
,,14,27,29,36,41,42
,,6,10,26,28,32,35
,,8,22,25,32,35,37
,,5,14,19,29,30,42
,,6,7,13,19,23,41
,,7,14,19,24,33,37
,,6,7,9,15,31,35
,,11,20,22,25,27,31
,,2,9,12,13,23,34
,,6,8,15,17,28,31
,,4,10,18,37,39,41
,,1,10,18,30,38,41
,,13,15,25,30,32,36
,,3,4,6,8,10,27
,,8,11,23,25,33,37
,,15,19,21,24,27,29
,,3,12,16,21,25,27
,,7,9,11,16,33,37
,,12,24,25,27,38,39
,,4,6,17,30,37,42
,,1,4,6,10,22,26
,,2,3,7,12,32,39
,,4,18,25,33,41,42
,,1,24,27,34,35,38
,,1,7,17,19,34,38
,,3,21,32,33,35,39
,,6,13,17,26,32,39
,,6,8,10,27,40,41
,,1,15,22,26,34,38
,,2,3,23,25,33,35
,,4,5,11,19,27,30
,,3,4,7,11,29,30
,,1,9,12,23,40,42
,,5,7,18,22,29,34
,,4,5,10,11,18,35
,,6,10,19,22,28,38
,,5,6,11,21,39,42
,,10,12,13,15,34,37
,,11,17,18,30,31,33
,,4,7,12,15,25,42
,,12,14,15,18,22,30
,,11,12,17,20,21,39
,,6,8,14,28,35,41
,,10,27,30,35,37,42
,,2,8,9,18,28,41
,,9,10,20,22,24,40
,,4,11,23,29,37,42
,,1,10,13,19,24,41
,,14,15,17,29,38,41
