draw_no,date,n1,n2,n3,n4,n5,n6
,,1,8,20,24,27,34
,,4,8,21,25,26,33
,,3,7,8,9,14,37
,,1,5,14,19,21,25
,,4,11,13,15,17,23
,,20,22,25,30,33,39
,,2,4,16,17,23,37
,,8,10,17,27,36,38
,,8,13,21,29,34,35
,,14,20,24,30,32,35
,,3,16,29,31,38,40
,,2,12,14,30,36,42
,,1,3,13,14,16,29
,,1,4,21,24,28,34
,,5,11,20,21,26,42
,,2,8,10,16,20,32
,,2,10,21,30,36,38
,,2,4,7,9,10,23
,,1,14,20,27,30,31
,,2,3,29,30,33,38
,,7,10,15,19,23,25
,,7,10,15,19,23,25
,,17,21,29,33,34,37
,,1,4,8,13,17,21
,,1,22,27,33,39,40
,,3,7,8,18,26,30
,,1,8,12,21,23,27
,,4,6,15,22,24,27
,,16,20,21,24,36,40
,,5,8,9,10,11,30
,,5,14,19,26,39,40
,,7,16,22,23,29,38
,,2,15,28,31,32,33
,,14,15,19,21,24,34
,,2,4,14,25,30,38
,,1,8,20,27,29,32
,,14,28,34,35,36,37
,,1,4,11,13,16,41
,,6,10,14,17,20,32
,,7,10,18,24,25,33
,,4,6,7,20,34,36
,,2,10,11,12,25,37
,,10,23,25,29,30,42
,,3,11,12,13,33,34
,,8,10,19,21,33,36
,,12,27,30,31,33,38
,,5,12,15,18,30,33
,,5,7,8,9,35,41
,,1,2,32,36,40,42
,,7,10,22,25,26,28
,,5,6,10,13,26,31
,,3,5,6,22,31,38
,,5,8,15,21,23,39
,,1,15,21,25,28,29
,,3,17,21,22,24,31
,,5,10,20,24,40,41
,,8,18,22,27,31,41
,,1,13,15,16,17,20
,,12,16,26,34,36,42
,,10,16,31,33,35,39
,,8,16,19,22,28,40
,,8,10,11,19,23,40
,,3,11,17,28,33,42
,,16,17,28,37,40,41
,,2,12,20,21,23,34
,,4,7,17,18,20,23
,,2,8,15,26,28,41
,,13,16,19,20,30,36
,,5,8,13,15,32,36
,,17,22,25,26,33,35
,,16,17,19,31,32,41
,,2,3,11,28,36,41
,,1,5,6,7,8,23
,,9,12,13,20,31,40
,,2,3,5,17,24,38
