draw_no,date,jackpot_eur,winners6,payout6_eur,winners5,payout5_eur,winners4,payout4_eur,winners3,payout3_eur,source_url
74,2026-09-20,4542433.56,0,0.00,2,15366.10,350,97.10,8615,8.50,https://info.toto.bg/results/6x49/2026-74
73,2026-09-17,4435679.94,0,0.00,9,3051.20,508,59.80,11181,5.80,https://info.toto.bg/results/6x49/2026-73
72,2026-09-13,4340289.98,0,0,15,2053.60,917,37.10,14440,5.10,https://info.toto.bg/results/6x49/2026-72
71,2026-09-10,4233285.69,0,0,14,1921.60,769,38.70,12741,5,https://info.toto.bg/results/6x49/2026-71
70,2026-09-06,4139833.36,0,0,46,717.40,1420,25.70,17997,4.30,https://info.toto.bg/results/6x49/2026-70
69,2026-09-03,4025208.88,0,0,5,5144.20,435,65.40,8825,6.90,https://info.toto.bg/results/6x49/2026-69
68,2026-08-30,3935862.72,0,0,14,2051.90,870,36.50,15516,4.40,https://info.toto.bg/results/6x49/2026-68
67,2026-08-27,3836076.27,0,0,7,3641.50,415,67.90,9911,6.10,https://info.toto.bg/results/6x49/2026-67
66,2026-08-23,3747530.67,0,0,21,1332.30,668,46.30,11564,5.70,https://info.toto.bg/results/6x49/2026-66
65,2026-08-20,3650343.41,0,0,9,2823.20,648,43.30,11543,5.20,https://info.toto.bg/results/6x49/2026-65
64,2026-08-16,3562080.56,0,0,15,2161.20,627,57.20,11768,6.50,https://info.toto.bg/results/6x49/2026-64
63,2026-08-13,3449472.04,0,0,10,2564.90,530,53.50,11319,5.40,https://info.toto.bg/results/6x49/2026-63
